doi,category,clean_abs
10.1088/1742-6596/2281/1/012021,supervised,"The wear of the turning tool has a great impact on product quality. With the development of sensor technology and increasing computing power, more and more research focuses on online monitoring and prediction of tool condition using machine learning methods. Nevertheless, most research has been conducted in laboratories, making it difficult to apply the results to the shop floor under complex production conditions. The research is based on vibration data measured in a real production environment of a turning machine. Machine learning models such as Random Forest, XGBoost, etc. were trained to predict the wear condition of the turning tool after features were extracted using digital signal processing techniques such as wavelet decomposition and empirical mode decomposition. A moving average-based method was proposed to convert the binary classification results into the probability of tool failure. On a real manufacturing data set, the online real-time monitoring is realized with an accuracy of 93.8%. It proves to be a good approach for managing spare parts in a real-time industrial environment with limited and isolated data sources."
10.32604/cmc.2025.063562,supervised,"Copyright © 2025 The Authors.The integration of IoT and Deep Learning (DL) has significantly advanced real-time health monitoring and predictive maintenance in prognostic and health management (PHM). Electrocardiograms (ECGs) are widely used for cardiovascular disease (CVD) diagnosis, but fluctuating signal patterns make classification challenging. Computer-assisted automated diagnostic tools that enhance ECG signal categorization using sophisticated algorithms and machine learning are helping healthcare practitioners manage greater patient populations. With this motivation, the study proposes a DL framework leveraging the PTB-XL ECG dataset to improve CVD diagnosis. Deep Transfer Learning (DTL) techniques extract features, followed by feature fusion to eliminate redundancy and retain the most informative features. Utilizing the African Vulture Optimization Algorithm (AVOA) for feature selection is more effective than the standard methods, as it offers an ideal balance between exploration and exploitation that results in an optimal set of features, improving classification performance while reducing redundancy. Various machine learning classifiers, including Support Vector Machine (SVM), eXtreme Gradient Boosting (XGBoost), Adaptive Boosting (AdaBoost), and Extreme Learning Machine (ELM), are used for further classification. Additionally, an ensemble model is developed to further improve accuracy. Experimental results demonstrate that the proposed model achieves the highest accuracy of 96.31%, highlighting its effectiveness in enhancing CVD diagnosis."
10.1109/ISSE49702.2020.9121044,supervised,"False calls are an undesired occurrence in manufacturing of printed circuit boards that have to be verified manually after the automated optical inspection} (AOI). In this paper, the feasibility of identifying false calls of the AOI using subsequent machine learning models is investigated. Different algorithms, data set sizes and thresholds integrated into the model are considered. Thus, depending on the use case, the accuracy of the model should be maximized without increasing the error slip. Therefore, the numerical measurement data generated by the AOI is usedfor model training, testing and validation. The investigated models use a k-nearest neighbors (knn) classifier as well as an artificial neural network (ANN). Since metrics of ML models can be strongly dependent on data quantity and quality the models are tested and compared on different data sets. While the knn-classifier achieves the best results for small data sets, its use becomes problematic for large data sets due to increasing computing time. For large data sets ANNs as well as Random Forest Classifiers surpass the performance of the knn-classifier."
10.1186/s40100-025-00380-8,supervised,"This paper explores the adoption of green production technology within the framework of Pakistan–China agricultural cooperation under the China–Pakistan Economic Corridor. The research focus is on how farmers’ green values (FGVs) and energy use reduction (EUR) affect the adoption of green production technology (AGPT), mediating through green production willingness (GPW), with environmental regulation and eco-innovation as moderators. The study conducts an analysis based on the use of structural equation modelling (SEM) and random forest regressor (RFR), wherein the drivers of sustainable agricultural practice are discussed. For this primary quantitative study, data were gathered via the survey method from 366 rural farmers, and SEM was performed to test hypotheses. SmartPLS software was used for this purpose. The results obtained show that both FGV and EUR have significant impacts on AGPT. However, ER insignificantly influences GPW. The mediation of GPW was significant in the association between FGV and AGPT (p < 0.05). However, it was insignificant in the relationship between EUR and AGPT (p > 0.05). The sequential mediation of GPW and AGPT was also found to be insignificant (p > 0.05), whereas AGPT has a significant impact on green supply chain performance (GSP). The moderation of environmental regulation was also insignificant (p > 0.05), while the moderation of eco-innovation was significant (p < 0.05). The RFR model also supported the impact of FGV and EUR on GSP. This insight indicates the critical role of environmental regulations, technological advancements, and the enhancement of supply chain performance through AGPT. This study fills an important literature gap regarding cross-national cooperation for sustainable agriculture in developing countries by integrating behavioural, regulatory, and technological perspectives."
10.1007/s00202-024-02440-6,supervised,"In recent years, the utilization of wind turbines to harness wind power has experienced significant growth, driven by technological advancements and increasing emphasis on sustainability. Developing nations, including India, are strategically implementing wind power initiatives in regions characterized by high annual average wind speeds. However, due to the inherently unpredictable nature of meteorological variables, wind energy production lacks a predictable schedule. Consequently, the energy sector faces the challenge of accurately forecasting wind velocity to effectively manage and optimize wind electricity generation. This research aims at Andhra Pradesh, India, to see whether wind energy is feasible. This paper presents a multilayer perceptron-neural network (MLP-NN) forecasting model that utilizes machine learning. The model extracts features with the Harris Hawks Optimization-K-Nearest Neighbors (HHO-KNN) technique. By employing this strategy, open-access data gathering will be used to improve wind power predictions. As the result, the proposed model attains an accuracy of 97.0996%, a precision of 99.16731%, an F1 score of 97%, and a recall of 96%. According to the results, the Prakasam district has the most potential for producing wind energy. Even though the sites are small in comparison with larger-scale projects, they have the potential to produce considerable amounts of electricity. Strategic decisions in renewable energy planning are informed by this research, emphasizing the significance of sophisticated forecasting approaches for wind energy optimization."
10.11834/jrs.20210580,supervised,"All right reserved.Sustainable development goals such as food security, high-quality habitat construction, biodiversity conservation, planetary health, and the understanding, modeling, and management of the Earth system urgently require multi-scale, long time series, high-accuracy, and consistent remote sensing observation datasets and mapping products with flexible classification systems to meet user needs. However, due to technical and cost constraints, it is difficult for conventional remote sensing satellites to provide observations with high spatial resolution, high temporal frequency, and high quality at the same time. The existing mapping and inversion schemes are mostly for a single sensor, making it difficult to fully exploit and jointly utilize the information potential of multi-source heterogeneous remote sensing big data, resulting in limited observation periods and resolutions, low spatial and temporal consistency and comparability. Therefore, new technical paradigms are urgently needed in the field of remote sensing. In this paper, based on advanced technologies, including cloud computing, artificial intelligence, virtual constellation, spatio-temporal fusion reconstruction, an intelligent mapping framework is proposed for remote sensing big data. The framework is user-driven and problem-driven, which can significantly improve the current situation that remote sensing data products can hardly meet users' diversified and high-precision surface monitoring needs in agriculture and forestry management, national monitoring, ecological environment protection, disaster prevention and mitigation, urban planning, etc. Under this framework's guidance, we built an online real-time, automated, serverless, end-to-end remote sensing big data production chain and parallel mapping system based on Amazon Web Services (AWS) high-performance, elastic, and scalable distributed computing resources. We produced the first set of 21st century daily Seamless Data Cube (SDC) and seasonal to annual land cover and land use mapping products of China. Integrating Landsat and MODIS satellite as a virtual constellation, through multi-source spatio-temporal data fusion and reconstruction technology, the daily SDC, cloud-free, high-precision reflectance product, is developed. As Analysis Ready Data (ARD), it lays the foundation for high-precision quantitative remote sensing inversion and mapping. Based on SDC, we developed the seasonal to annual mapping product with multiple multi-level land cover and land use classification systems, whose mean annual accuracy exceeds 80%. The main mapping pipeline includes migrating the all-season sample set based on stable classification theory with limited samples, optimizing and ensembling multiple classifiers by Automatic Machine Learning (AutoML) strategies, and using change detection and post-processing techniques to achieve consistency. The two sets of products demonstrate the feasibility and effectiveness of the intelligent remote sensing mapping framework proposed in this paper. We will continue to improve and develop the framework with an open and flexible concept to provide new ideas to promote remote sensing development in China."
10.1080/0951192X.2023.2204469,supervised,"As the last production link, the diesel engine assembly process (DEAP) significantly impacts the quality consistency of diesel engine products. Therefore, the quality consistency improvement of DEAP has become an urgent problem for academia and industry. The challenge is how to mine the causal relationship in DEAP and establish a reliable quality prediction model. This paper attempts to describe DEAP using a causal relationship network (CRN) and to provide an effective data-based scheme for improving quality consistency by integrating CRN with support vector regression (SVR). First, a two-step CRN learning method is proposed for describing the DEAP. In the first step, the association relationship network is developed by a hybrid direct association detection method of the maximal information coefficient and network deconvolution, which can accurately measure the data relations. In the second step, the information geometric causal inference is employed to determine the direction of the edges in the association relationship network, thus forming the CRN of DEAP. Then, an integrated CRN-SVR approach is proposed to realize the predictive modeling of the critical quality indicators in DEAP, which integrated SVR into CRN. At the same time, it also provides a feasible idea for the interpretability of existing machine learning techniques. Finally, the proposed approach is tested and verified in a real-world DEAP and the obtained RMSE is only 0.033. The results of this study provide theoretical support and technical guarantee for quality consistency improvement in DEAP."
10.15488/9681,supervised,"The shop floor is a dynamic environment, where deviations to the production plan frequently occur. While there are many tools to support production planning, production control is left unsupported in handling disruptions. The production controller evaluates the deviations and selects the most suitable countermeasures based on his experience. The transparency should be increased in order to improve the decision quality of the production controller by providing meaningful information during his decision process. In this paper, we propose a framework in which an interactive production control system supports the controller in the identification of and reaction to disturbances on the shop floor. At the same time, the system is being improved and updated by the domain knowledge of the controller. The reference architecture consists of three main parts. The first part is the process mining platform, the second part is the machine learning subsystem that consists of a part for the classification of the disturbances and one part for recommending countermeasures to identified disturbances. The third part is the interactive user interface. Integrating the user’s feedback will enable an adaptation to the constantly changing constraints of production control. As an outlook for a technical realization, the design of the user interface and the way of interaction is presented. For the evaluation of our framework, we will use simulated event data of a sample production line. The implementation and test should result in higher production performance by reducing the downtime of the production and increase in its productivity."
10.1007/978-3-031-19639-3_4,supervised,"Innovative manufacturing processes allow the integration of billions of transistors into a single chip, and the implementation of extremely dense designs, but they also come with increased variability and new reliability threats. Both, new processes and more complex designs introduce a higher degree of indeterminism which challenges logic diagnosis and defect classification. Design techniques like selective hardening, fault masking, and error masking or adaptive voltage and frequency scaling (AVFS) increase reliability, but make test, diagnosis, and defect classification even more difficult. This chapter presents machine learning techniques for distinguishing variations from reliability threats due to defects, for identifying different defect types during diagnosis, and for distinguishing transient errors covered by hardening or masking from intermittent faults."
10.1007/978-3-031-09726-3_17,supervised,"As a powerful tool for regression prediction, Incremental Extreme Learning Machine (I-ELM) has good nonlinear approximation ability, but the original model has the problem that the uneven output weights distribution affects the generalization ability of the model. This paper proposes an Incremental Extreme Learning Machine method based on Attenuated Regularization Term (ARI-ELM). The proposed ARI-ELM adds attenuation regularization term in the iterative process of output weights, reduces the output weights of the hidden node in the early stage of the iteration and ensuring that the new nodes after multiple iterations are not affected by the large regularization coefficient. Therefore, the overall output weights of the network reach a relatively small and evenly distributed state, which would reduce the complexity of the model. This paper also proves that the model still has convergence performance after adding the attenuated regularization term. Simulation results on the benchmark data set demonstrate that our proposed approach has better generalization performance than other incremental extreme learning machine variants. In addition, this paper applies the algorithm to specific weight prediction scene of intelligent manufacturing dynamic scheduling, and also gets good results."
10.1109/ICSMC.2010.5642213,supervised,"Among manufacturing companies there is a wide-spread consensus that women are better suited to perform visual quality inspection, having higher endurance and making decisious with better reproducibility. Up to now gender-differences in visual inspection decision making have not been thoroughly investigated. We propose a machine learning approach to model male and female decisions with classifiers and base the analysis of gender-differences on the identified model parameters. A study with 50 male and 50 female subjects on a visual inspection task of stylized die-cast parts revealed significant gender-differences in the miss rate (p = 0.002), while differences in overall accuracy are not significant (p = 0.34). On a more detailed level, the application of classifier models shows gender differences are most prominent in the judgment of scratch lengths (p = 0.005). Our results suggest, that gender-differences in visual inspection are significant and that classifier-based modeling is a promising approach for analysis of these tasks. ©2010 IEEE."
10.1016/j.aei.2025.103267,supervised,"Existing research improves the performance of prediction models based on point data but neglects the value of interval data and model interpretability, resulting in suboptimal predictions. Hence, this study proposes an interval-valued forecasting system for non-ferrous metal prices via interpretable two-stage ensemble learning. An interval-valued data preprocessing module is designed to improve predictive ability and enhance modeling diversity in terms of data by introducing various interval-valued mapping strategies. To enhance the modeling diversity of the predictors, a meta-predictor module that incorporates four advanced deep-learning models that produce various sub-predictors is proposed. A two-stage ensemble learning module is developed to obtain final interval-valued non-ferrous metal prices based on all sub-predictors. In the first stage, based on temporal fusion transformers, different deep-learning models are combined to reduce the bias in individual predictors. In the second stage, based on an attention mechanism, different interval-valued mapping strategies are combined to improve forecasting performance. Multiple comparative experiments and analyses are conducted using real non-ferrous metal market data. In an empirical study, the proposed system achieved the best results. Taking a copper dataset as an example, the system results for the IMAPE, IRMSE, IARV, and UI were 0.57826 %, 62.51197, 0.02147, and 0.14651, respectively. The results show that the proposed system not only outperforms both individual and advanced ensemble models in terms of accuracy and robustness but also offers valuable interpretable insights for improving interval-valued forecasting power."
10.1002/ett.3947,supervised,"Cybersecurity is the domain that ensures safeness in both individual system and overall network systems. The classification and learning approaches used in different machine learning (ML) techniques improve the protection of the cyber systems against various attacks. Techniques such as support vector machine (SVM), neural networks (NN), principle component analysis (PCA), and reinforcement learning (RL) are used against various cyber threats. Applying these techniques at the front-end services (either online or offline) makes less effect than back end process-level services of any computer system. The proposed work analyzes the benefits of implementing customized ML and deep learning (DL) techniques on the core of the operating system than application level services, which in effect increases the speed and correctness of attack detection. The core (kernel) of the operating system has the capability to extract all internal attributes of process and file systems. The kernel space security activities can be improved by proposed work where the process level attributes classified using ML and DL techniques. The cloud service helps in sharing of the kernel abilities of the system ensuring core level security. The following work uses recurrent NN (RNN), SVM, PCA, and RL for analyzing the system data collected using Process Explorer. This technique finds application in manufacturing domain where the systems are protected from the various attacks to secure the data of the manufacturing company."
10.1016/j.renene.2023.01.113,supervised,"However, modeling the fuel ethanol batch fermentation process is still a critical task. The unstructured kinetic model (UKM) is often utilized to model the process, but it encounters two problems due to the large differences in initial glucose concentrations. First, the UKM has poor predictions of the yeast growth, which is a crucial production index. Second, the kinetic parameters of the UKM are time-varying because of the changing environmental conditions. The constant manually set kinetic parameters affect the prediction accuracy. To tackle the problems, we propose a dynamic hybrid model of the fuel ethanol fermentation process. First, a biomass concentration prediction model based on extreme gradient boosting is developed. It predicts the values of biomass concentrations and mycelium growth rate as supplementary mechanism knowledge. Then, we present an artificial neural network-based model to determine the time-varying kinetic parameters. Our model can accurately predict the time series of biomass, ethanol, and glucose concentrations, with RMSEs reaching 0.3323, 1.9295, and 3.0540. Experimental results show that the dynamic hybrid model performs with satisfactory accuracy in modeling the fuel ethanol fermentation process."
10.1007/978-3-031-73617-9_26,unsupervised,"As digital data continues to grow exponentially, the reliability of Hard Disk Drives (HDDs) becomes a critical concern for ensuring data integrity and preventing unexpected system downtimes. The research dataset contains historical SMART attribute data collected from HDDs, encompassing parameters such as spin-up time, temperature reallocated sector count and other relevant metrics. The study explored usage of various exploratory data analysis (EDA) & machine learning (ML) techniques for forecasting HDD failures. EDA techniques include Synthetic Minority Over-sampling Technique (SMOTE) algorithm for balancing class representation in training set and Principal Component Analysis (PCA) for dimensionality reduction. Diverse machine learning techniques, such as Random Forest (RF), Decision Tree (DT), K-nearest Neighbors (KNN), Gaussian Naïve Bayes (GNB), Adaptive Boosting (AdaBoost), XGBoost, Gradient Boosting (GB), Linear Discriminant Analysis (LDA), Logistic Regression (LR), are employed to predict the hard drive failure. Local Interpretable Model-agnostic Explanations (LIME) is employed to identify which features have the greatest influence on a specific prediction, providing insights into the factors driving the model’s decisions. Random Forest exhibited superior performance of accuracy 99.9 and F1 score 0.98 compared to other models."
10.1016/j.compchemeng.2025.109412,unsupervised,"To optimize resource use and minimize waste, it is essential to manage these supply chains effectively, especially in the face of uncertainty. This research addresses the crucial challenge of designing a sustainable closed-loop agricultural supply chain network, with a specific focus on jujube products in the context of temperature-yield uncertainty. The model enhances economic sustainability by minimizing costs, social sustainability through job creation requirements, and environmental sustainability by implementing carbon emission caps, while taking into account decisions regarding facility locations, inter-facility flows, inventory, and shortage management. Our main contribution is a distributionally robust optimization approach that integrates a K-means clustering machine learning algorithm to generate scenarios from historical data patterns, addressing the dynamic and interrelated uncertainties in temperature-yield data. The framework incorporates closed-loop principles through thermochemical conversion processes that transform agricultural waste into value-added biochar products. A comprehensive case study of the jujube industry in South Khorasan Province, Iran, validates the model's effectiveness. Results demonstrate that moderate conservatism levels (ω between 0.8 and 1.2) achieve an 88% reduction in operational risk variability while incurring only a 3% cost increase. A comparative analysis reveals that the proposed approach achieves a 0.95 risk-adjusted performance score, outperforming traditional stochastic programming and robust optimization alternatives. This research provides agricultural supply chain managers with practical guidelines for managing temperature-yield uncertainty."
10.1007/978-981-16-1941-0_35,unsupervised,"Anomaly detection is one of the very predominant activities in manufacturing and it has many practical applications, like scrap reduction, quality testing and compliance testing. Many machine learning applications are available for anomaly detection in the literature and they are performing a decently good job. In the current study, we are describing various applications of anomaly detection in manufacturing domains, like automotive, oil and gas, pharma and consumer goods, and also some of the latest methods available in the literature to perform anomaly detection. We also highlighted some of the gaps and future scope of work in anomaly detection topics."
10.1109/DSN-S52858.2021.00027,unsupervised,"Large-scale Internet services run on a fleet of distributed servers, and the continuous availability of the hardware is key to the robustness of the services. Unplanned reboots disrupt the services running on the hardware and lower the fleet availability. Server reboots are also important signals that could indicate underlying issues such as memory leaks from the services, catastrophic hardware failures, and network or power disruptions at the datacenters.In this paper, we present an at-scale, near-realtime reboot monitoring framework built with multiple state-of-The-Art data infrastructures, as well as machine learning-based anomaly detection and automated root cause analysis across hundreds of server attribute combinations. We observed that 1% of the reboots in our hardware fleet were associated with kernel panics and out-of-memory events, and these reboots exhibit strong locality temporally and across services."
10.1002/hcs2.90,unsupervised,"Health Care Science published by John Wiley & Sons Ltd on behalf of Tsinghua University Press.Introduction: Data clustering is an important field of machine learning that has applicability in wide areas, like, business analysis, manufacturing, energy, healthcare, traveling, and logistics. A variety of clustering applications have already been developed. Data clustering approaches based on self-organizing map (SOM) generally use the map dimensions (of the grid) ranging from 2 × 2 to 8 × 8 (4–64 neurons [microclusters]) without any explicit reason for using the particular dimension, and therefore optimized results are not obtained. These algorithms use some secondary approaches to map these microclusters into the lower dimension (actual number of clusters), like, 2, 3, or 4, as the case may be, based on the optimum number of clusters in the specific data set. The secondary approach, observed in most of the works, is not SOM and is an algorithm, like, cut tree or the other. Methods: In this work, the proposed approach will give an idea of how to select the most optimal higher dimension of SOM for the given data set, and this dimension is again clustered into the lower actual dimension. Primary and secondary, both utilize the SOM to cluster the data and discover that the weight matrix of the SOM is very meaningful. The optimized two-dimensional configuration of SOM is not the same for every data set, and this work also tries to discover this configuration. Results: The adjusted randomized index obtained on the Iris, Wine, Wisconsin diagnostic breast cancer, New Thyroid, Seeds, A1, Imbalance, Dermatology, Ecoli, and Ionosphere is, respectively, 0.7173, 0.9134, 0.7543, 0.8041, 0.7781, 0.8907, 0.8755, 0.7543, 0.5013, and 0.1728, which outperforms all other results available on the web and when no reduction of attributes is done in this work. Conclusions: It is found that SOM is superior to or on par with other clustering approaches, like, k-means or the other, and could be used successfully to cluster all types of data sets. Ten benchmark data sets from diverse domains like medical, biological, and chemical are tested in this work, including the synthetic data sets."
10.1155/2022/8031024,unsupervised,"This paper analyses the automatic control effect of an electronic controller, combined with artificial intelligence technology in order to improve the automatic control of an electronic controller. In order to improve the automatic control effect of the electronic controller, a novel centralized intelligent reflective surface-assisted millimeter-wave computational imaging scheme based on pixel block division and block sparse signal recovery is proposed in this paper. Meanwhile, this paper proposes a fast block-sparse Bayesian learning algorithm. It combines the GAMP algorithm with machine learning, so it can achieve similar performance with much lower computational complexity than the traditional block sparse Bayesian learning algorithm. The simulation clustering study shows that the electronic controller automation system based on artificial intelligence technology proposed in this paper can effectively improve the control effect of the electronic controller."
10.3390/polym17141910,unsupervised,"This research article examines the CO2 laser cutting performance of Fused Filament Fabricated Acrylonitrile Styrene Acrylate (ASA) thermoplastics by analyzing the influence of plate thickness, laser power, and cutting speed on four quality characteristics: surface roughness (Ra), top kerf width (Top KW), bottom kerf width (Bottom KW), and bottom heat-affected zone (Bottom HAZ). Forty-five experiments were conducted using five thickness levels, three power levels, and three cutting speeds. To model and predict these outputs, seven machine learning approaches were employed: Autoencoder, Autoencoder–Gated Recurrent Unit, Autoencoder–Long Short-Term Memory, Random Forest, Extreme Gradient Boosting (XGBoost), Support Vector Regression, and Linear Regression. Among them, XGBoost yielded the highest accuracy across all performance metrics. Analysis of Variance results revealed that Ra is mainly affected by plate thickness, Bottom KW by cutting speed, and Bottom HAZ by power, while Top KW is influenced by all three parameters. The study proposes an effective prediction framework using multi-output modeling and hybrid deep learning, offering a data-driven foundation for process optimization. The findings are expected to support intelligent manufacturing systems for real-time quality prediction and adaptive laser post-processing of engineering-grade thermoplastics such as ASA. This integrative approach also enables a deeper understanding of nonlinear dependencies in laser–material interactions."
10.21595/vp.2019.20617,unsupervised,"A wind turbine works under variable load and environmental conditions because of which failure rate has been on the rise. Failure of a gearbox, an integral part of producing wind energy, contributes to 80 % of the total downtime for the wind turbine. For ensuring better utilization of the wind turbines, Fault prognosis and condition monitoring of bearings are of utmost importance as it helps to reduce the downtime by early detection of faults which further increases the power output. In this paper, vibration signals produced and machine learning approach to determine the Remaining Useful Life (RUL) for a degraded bearing is studied. The methodology includes statistical feature extraction analysis with regression models. Further the feature selection is done using Principal Component Analysis (PCA) technique which produces training and testing sets which acts as an input parameter for regression models such as Support Vector Regressor (SVR) and Random Forest (RF). Weibull Hazard Rate Function is used for calculating the RUL of the bearing. Results This study shows the potential application of regression model as an effective tool for degradation performance prediction of bearing."
10.1016/j.cma.2024.117372,unsupervised,"V.Recent breakthroughs in advanced manufacturing capabilities have made it possible to design and print sophisticated topologies of cellular structures using diverse engineering materials such as metals, polymers, and ceramics. In these architectured materials, it is often desirable to tailor the mechanical properties by altering the unit cell topology. This necessitates an in-depth understanding of how the topology of the unit cell structure affects the macroscopic behavior of the material in both the linear and the non-linear regimes encountered under large compression. We have developed a machine learning (ML) approach capable of accelerating the prediction of the stress–strain response of a polymer-based cellular structure under uniaxial confined compression. As part of generating the training data for ML, 60,000 mesostructures were generated using a relatively novel approach based on cellular automata, and their corresponding stress–strain responses were obtained from the finite element simulations. Principal component analysis (PCA) was used to reduce the dimensionality of the stress–strain curves. With only 20 principal components, PCA captured 99.89% of the variance in the stress–strain curves while reducing the dimensionality by 5X. ML using supervised autoencoder was able to successfully speed up the prediction of the non-linear stress–strain response of a unit cell by up to 4600X. The proposed method can serve as an efficient data generation tool and a rapid means for predicting the structure–property relationship through accelerated forward modeling of cellular materials under compaction, in cases where the macroscopic stress–strain response is governed by the unit-cell topology."
10.4018/979-8-3693-7525-9.ch003,unsupervised,"Machine learning (ML) is driving change in aerospace design and manufacturing in order to increase efficiency, safety, and innovation. Complex designs and requirements required in aerospace industry. ML can improve design quality, support design thinking by generating multiple options, and enhance predictive analytics to detect potential problems. ML makes manufacturing processes smarter by predicting demand and managing resources effectively, increasing operational efficiency and improving product quality. ML helps to prevent errors and increase safety and security through predictive maintenance, non-destructive testing, and anomaly detection. ML can handle challenges such as data collection, interpreting in a safety-critical business context. ML offers great opportunities, from AI-powered innovation and human-machine collaboration to the potential impact of quantum computing in solving complex aerospace problems. Continued advances in machine learning will help to shape the future of aerospace, making machines more efficient, safer, and more innovative."
10.1109/MLSP55844.2023.10285973,unsupervised,"Time series classification is a fundamental task in many domains such as finance, healthcare, and manufacturing. Traditional machine learning techniques are limited in their ability to deal with the temporal nature of time series data, making representation learning an effective approach. Randomized machine learning is gaining interest as many cases it can outperform deep learning. However, it often requires many features, which can be an issue with high-dimensional training data and low-sample sizes. To address this issue, we propose a novel and efficient approach that utilizes a new and fast metric to evaluate features, called the Scatter Score (SS), and a new temporal-aware down-sampling strategy, called randomized threshold exceedance rate (rTER). Our method achieves significant improvements in classification performance compared to state-of-the-art methods such as ROCKET, miniROCKET, ResNet, and InceptionTime, as demonstrated on 30 different datasets."
10.1016/j.geoen.2025.213991,unsupervised,"However, the diversity of evaluation parameters limits hydraulic fracturing optimization. Therefore, we propose an adaptive-category-gaussian-mixture-model (AC-GMM) based on a geology engineering framework, combining reservoir quality (RQ) and completion quality (CQ) to classify the composite quality index (CQI). The classification serves as the basis for an intelligent algorithm developed for fracturing design. Taking three typical wells from the Lucaogou Formation in the Junggar Basin in China as examples the following research results are summarized. First, the AC-GMM model can finely identify the fracturing grades, achieving a conformity rate of over 90 % with the field production data. Second, the paper obtains three types of fracturing grades (I, II, III) and further refines them into four grades (I, II1, II2, III), the grade I considers both high RQ and CQ, while grade II only regards the better of the double quality, and prioritizes the better CQ. Third, the intelligent algorithm groups similar qualities into the same stage, achieving up to 96 % intra-stage homogeneity, significantly enhancing hydraulic fracturing efficiency for long horizontal wells. Our work provides a data-driven framework for optimizing multi-stage fracturing designs in shale reservoirs."
10.1109/BigData55660.2022.10020836,unsupervised,"Enabled by the increasing availability of sensor data monitored from production machinery, condition monitoring and predictive maintenance methods are key pillars for an efficient and robust manufacturing production cycle in the Industrial Internet of Things. The employment of machine learning models to detect and predict deteriorating behavior by analyzing a variety of data collected across several industrial environments shows promising results in recent works, yet also often requires transferring the sensor data to centralized servers located in the cloud. Moreover, although collaborating and sharing knowledge between industry sites yields large benefits, especially in the area of condition monitoring, it is often prohibited due to data privacy issues. To tackle this situation, we propose an Autoencoder-based Federated Learning method utilizing vibration sensor data from rotating machines, that allows for a distributed training on edge devices, located on-premise and close to the monitored machines. Preserving data privacy and at the same time exonerating possibly unreliable network connections of remote sites, our approach enables knowledge transfer across organizational boundaries, without sharing the monitored data. We conducted an evaluation utilizing two real-world datasets as well as multiple testbeds and the results indicate that our method enables a competitive performance compared to previous results, while significantly reducing the resource and network utilization."
10.1007/978-981-13-2375-1_63,unsupervised,"In the background of intelligent manufacturing, fault diagnosis is more and more important. In order to reduce the time and space cost of mass multidimensional data in machine learning fault diagnosis algorithm, a fault diagnosis framework based on DEMATEL and Support Vector Machine is proposed in this paper. DEMATEL algorithm can reduce the dimensions of data and Support Vector Machine can better solve the problem of multiple classification of small sample with non-linear feature and classify the fault data after dimensionality reduction. The framework proposed in this paper improves the efficiency of fault diagnosis effectively and ensures the further development of intelligent manufacturing."
10.1109/ICPHM57936.2023.10193957,unsupervised,"The detection of anomalies in printed circuit boards (PCBs) is an important challenge in the electronics manufacturing industry. Traditional anomaly detection methods often struggle to handle imbalanced datasets, which are common in real-world PCB production. In recent years, machine learning (ML) algorithms have emerged as a promising solution to this problem. This study investigates the use of ML algorithms for anomaly detection in PCBs, with a particular focus on addressing the issue of imbalanced data. We propose a data-level technique to balance the dataset and improve the performance of the ML algorithm. Our results show that our approach outperforms traditional methods in terms of precision, recall, and F1 score. Overall, this study demonstrates the potential of ML in addressing the challenge of anomaly detection in PCBs and highlights the importance of considering imbalanced data in such applications."
10.1109/TASE.2024.3486688,unsupervised,"Industrial environments pose distinctive challenges for anomaly detection, primarily stemming from the complexities associated with high dimensionality and the dynamic nature of data patterns over time. These properties determine that the model's proper convergence on unlabeled data is unpromising, consequently leading to less efficient discrimination of anomalies in previous anomaly detection (AD) works. To address this problem, we present AnoDual, a novel, meta-learning AD framework. From the perspective of data reconstruction, we introduce the multi-memory enhanced VAE reconstructor M2ER, which learns to extract the most salient patterns in unlabeled noisy data through a self-supervised manner. This design eases impacts from potential anomalous components during data reconstruction, and enhances the discernibility of anomalies. To address performance degradation caused by the numerical deviation based AD scheme in most existing works, we design a dual-source self-supervised discriminator DSD, which examines characteristics in the domain of representations. This model actively assesses discrepancies between data pairs and representation pairs in parallel, and conducts AD on a fine-grained scale. In this way, anomalies that used to be unnoticed due to a less prominent numerical deviation can be spotted. Besides, we propose a meta-learning powered training pipeline to enable model training even when no real label is available, which is common in the industry. Extensive experiments on five large-scale real-world industrial datasets suggest that AnoDual achieves an average F1-Score with a substantial increment of 3.39 %, outperforming the latest state-of-the-art baseline. Note to Practitioners - A generative model plus a numerical threshold based detection approach currently takes a significant share in both academia and the industry. However, the performance of this workflow is not promising in actual applications, with multiple factors contributing to this situation. The proper convergence of such generative models is difficult when the training material contains noisy samples - an over-expressed generative model would result in less significant reconstruction discrepancies for anomalies that are hard to notice. In addition, selecting a numerical threshold, which is used to spot anomalies, requires multiple laborious attempts, and can hardly adapt to an ever-changing pattern in industrial environments. These circumstances make it challenging to apply prior works in practical production, which, in turn, urges the need to develop an effective methodology to address the need for industrial anomaly detection. This manuscript includes a novel, meta-learning powered framework AnoDual, which is tailored for industrial scenarios. This framework discards the conventional design of comparing the reconstruction error numerically, but introduces a solution based on the differentiation of the representations. Besides, the multi-head attention enhanced variational autoencoder also leads to a much more pronounced discrepancy for anomalous samples, which benefits their successful detection. Providing a flexible and robust way to detect anomalies on deployed IoT assets, this work can be further transformed to serve applications in many other domains."
